호선명,지하철역,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원
수인,소래포구,1992,358,5103,2052,12530,3311,9058,5966,4932,5158,4838,6457,5854,11155,7945,13589,10306,11915,12464,11091,13530,10314,12698,9170,10522,9674,9282,12470,5690,8980,4539,5512,4135,5122,3051,3381
경인,소사,15789,2782,15485,5071,31300,7059,28183,10509,17007,7390,12623,7294,10783,7496,10828,8497,9920,9055,9171,9732,9229,10314,9548,13379,11726,18422,11016,28005,6500,24837,4750,13827,4067,14050,2770,9725
경원,소요산,644,718,1146,1986,3848,3392,3091,3742,3883,4945,3082,6783,4068,9687,5685,9645,7128,7922,9649,6800,11847,4686,12249,3656,8617,2718,5623,1930,2459,1400,1552,1191,804,943,318,917
우이신설,솔밭공원,1605,321,3104,1030,7768,1459,7613,2043,4910,1830,3469,2009,3133,2205,3157,2502,2920,2773,2669,3138,2858,3334,2841,3724,2681,4116,1965,6360,1323,6103,894,3709,689,3037,520,2069
우이신설,솔샘,2145,233,7534,1039,23652,2283,23185,3808,11809,2607,6951,2814,5597,3084,5810,3773,5843,4151,5116,4470,4895,6261,4876,7308,4432,9771,3915,19189,2362,17799,1670,9243,1301,7733,1059,5569
경인,송내,14136,8165,32733,14543,94364,27421,76420,67645,39078,35146,26310,18968,25976,17383,27364,19416,24874,21258,22943,21534,24540,23391,28558,29838,37035,45501,64025,77966,28002,74173,19288,39572,16413,34047,11293,25314
수인,송도,1605,240,3175,975,7898,1791,7864,2493,3223,2052,2593,2119,2821,2460,3267,2609,3417,2492,3094,2722,3144,2987,3054,4062,3413,4884,3178,6872,2120,4791,1362,2950,1201,2894,759,2158
5,송정,3550,1224,6912,4000,17375,6564,18144,11532,11464,6961,8689,5889,7787,6152,7686,6722,8130,6570,7671,7014,7703,8456,8422,8783,10347,10852,11959,15970,6472,13512,4625,8292,4081,7445,2720,5740
경부,송탄,6156,644,6715,2657,10737,4336,7427,6175,5476,3173,4980,2708,5034,3406,5120,3615,5236,3700,4622,4437,5074,4928,5995,5420,6522,7441,7850,8443,4633,10219,3336,6341,2837,6814,1458,5853
8,송파,2457,571,7639,3966,23235,9533,27016,16432,14720,8607,8822,6101,8220,6086,8718,6454,9099,7578,8387,7634,10124,8593,11142,10524,10538,14451,13966,24589,7026,19291,4982,10227,4037,9345,2986,6337
92~3단계,송파나루,1550,166,2800,1488,9427,2922,11977,7646,7658,5264,4189,3399,3925,3680,4022,3954,4359,4901,4280,4342,4496,5060,4554,6185,5616,8534,8184,13590,4571,11301,4185,4972,3972,4826,2835,3717
분당,수내,2022,1660,5631,6074,14085,13496,17720,40425,10994,35248,8600,17040,9686,12049,11770,12667,12704,12954,14611,13307,17111,12275,17916,13494,25723,16437,37563,22644,21012,17410,21590,9435,12957,7505,9980,6268
7,수락산,8309,713,18766,5236,43767,7709,41267,15501,21848,14752,14512,14291,12934,12598,13552,12008,15031,11377,14545,11917,15157,14266,15596,17004,16608,20883,16934,35921,10624,38741,6819,21745,5766,17696,3450,13888
안산,수리산,2919,642,7864,1568,16649,3353,15582,4308,8132,2843,5188,3629,4455,2801,4583,2972,4565,2943,3987,3072,4019,3869,4191,4522,4309,6178,4512,10492,2527,9774,1606,5859,1293,4816,831,4014
경의,수색,689,337,1563,2237,3396,4228,2882,12816,2222,6845,1636,2701,1754,1777,1774,1652,1836,2482,2020,1734,2406,1999,3319,1974,6509,3160,10201,2410,4492,2477,2488,1507,1879,1021,1310,1023
"3,분당",수서,7209,4177,16054,21608,46180,45746,61543,78326,39256,44319,31594,29726,26546,23474,31879,28388,32067,28943,28495,28982,37291,33457,43680,36967,55512,47661,72582,69834,35167,52614,32067,33837,21070,26534,17745,20171
"경부,분당",수원,21575,6825,35977,26999,80124,49286,72473,63799,41976,54780,34716,42944,38270,45691,42120,53879,43369,55001,46083,56815,52461,56308,63080,63592,75236,83404,89637,106505,69582,87547,70266,49745,49914,39399,37074,27974
분당,수원시청,3742,1225,8693,4923,20344,12037,19248,35260,10519,20634,8538,11622,10502,9041,12252,11328,11487,12841,11581,11070,13785,12333,17453,13241,20348,20462,29261,30141,14892,25364,12089,15420,12733,11217,9612,8977
4,수유,19067,3192,40026,10586,96556,17669,110340,48774,64352,32459,41775,24773,36748,24891,37319,27772,37979,30743,36548,34569,36710,41065,38247,49432,43608,64240,51890,105512,30446,93378,23338,54784,21021,50209,14447,35841
8,수진,3501,411,5704,2017,13418,3016,17797,8069,9223,4312,6057,4085,5470,4278,6241,4328,5869,6001,5186,5860,6052,6182,7307,6824,7592,8198,6591,12437,3482,10615,2680,6229,2097,6080,1593,4590
4,숙대입구,2640,805,7268,6074,13944,18714,21153,41491,13201,26646,10421,12440,10916,11280,12268,11358,12972,12367,13986,12379,14828,13189,20133,14531,27202,18105,40735,25147,20135,17733,13877,10202,12661,9727,8488,7525
7,숭실대입구,5199,786,10187,3140,30946,6519,43082,15721,22020,11871,12449,9539,10845,9913,11800,10721,12533,11587,11937,12250,11803,13998,13861,16681,17234,22795,16466,38084,9979,30159,8394,17465,8742,15922,7187,12516
수인,숭의,2741,642,4458,2313,9921,7172,7758,9582,4748,3826,4070,3068,4054,2942,4377,3275,4361,4016,4207,3822,4604,3719,5159,4790,7891,5852,8232,8531,3539,4875,2091,3528,1739,3976,1170,2475
"1,2",시청,2408,4961,4564,28556,9272,115352,12812,302325,13344,139822,16871,43366,23790,33769,24745,31307,30457,32892,38580,28218,48432,24839,57252,21226,125694,22529,247877,21377,89421,10916,59611,6150,53198,5690,27181,3558
분당,신갈,2346,314,6474,1742,15374,1908,15041,4372,8041,2222,5140,2106,4738,2659,4506,3143,4673,3633,4160,3924,4165,4671,4800,5354,4438,7983,3704,13165,1767,11622,1302,7686,1126,6189,846,5521
5,신금호,2640,328,5924,2438,18027,7545,22425,10421,11470,5611,6813,4415,5800,4599,6161,5155,6378,5549,6068,5749,6012,7310,8313,8569,7886,12609,8411,20913,5756,14724,3900,8377,3158,7529,1834,5460
"5,경부",신길,11858,2626,12436,7163,30469,18444,39687,37601,20324,15597,11621,7387,10347,7246,10863,8084,11783,9094,10584,9320,11847,11085,15479,12669,21322,20673,38492,32282,15497,21895,8770,14399,8339,15162,5289,10698
안산,신길온천,1676,77,3112,1232,5243,3362,4309,2296,2464,1149,1945,1295,1612,1225,1732,1292,1682,1214,1571,1463,1657,1779,1961,2043,2953,2694,3146,4119,1594,3738,1162,2317,787,1975,271,1390
"6,경춘",신내,621,627,1668,3202,4062,2991,3803,3831,1837,1187,1465,1069,1474,961,1437,1060,1409,1268,1661,1489,1880,1908,2845,1811,2966,2731,2835,3457,1358,2835,701,1455,527,1183,524,767
9,신논현,3065,1526,10193,13516,25049,39028,32773,76993,21949,78046,17186,42997,19993,30043,24291,29225,26682,33888,29572,31648,35297,31180,42526,33225,63895,41909,89550,64342,63879,40683,46252,20377,46096,16996,32289,12508
2,신답,843,137,1590,519,5142,832,7972,1455,3182,1058,1653,855,1383,931,1537,1035,1485,1208,1323,1376,1256,2024,1329,2526,1565,3592,1791,7929,814,5730,492,2503,440,2619,392,1682
"2,6",신당,12662,2026,16198,12853,29024,29678,44201,68194,28663,38761,20863,26085,21829,23107,24472,21527,24094,23527,25900,23406,28667,23730,33084,27161,38882,33983,52429,46588,31669,40350,23441,22952,20024,19830,15002,15367
2,신대방,24321,2115,32209,8899,77710,16387,109289,29035,65595,18214,34674,14920,26882,15611,27397,18652,26116,20430,23665,23290,23254,31427,26003,36461,29834,53347,35405,84478,20779,69192,14927,45423,11585,51214,8376,36433
7,신대방삼거리,9417,1181,15619,6900,44114,11832,67486,26459,35427,16564,18888,12026,16220,11074,17367,12220,16484,13181,15516,14841,15539,17641,18313,19747,20017,28834,25384,53520,13944,41655,10375,23908,8665,21855,6263,16349
"2,경부",신도림,35533,5380,46079,17613,119877,43405,121547,114402,75683,63889,47991,52496,45634,46161,51375,48404,53760,50702,53291,52963,56846,59483,62922,66651,85452,90668,124058,145554,69689,108799,54602,63476,51566,58816,29611,45491
경강,신둔도예촌,481,123,1378,390,3609,1476,2549,2637,1485,1027,1276,618,1073,775,1169,1038,1103,954,995,854,978,964,1436,1334,2573,1734,2530,2196,961,2870,665,1639,621,1550,198,1130
2,신림,37085,4193,69910,18619,181052,28780,263726,52706,154891,45090,78847,36470,63594,37227,66611,42660,64254,49704,60524,56608,58527,71556,65087,84057,68631,123280,72218,217233,50026,183785,41141,115204,38751,112614,29088,82627
9,신목동,1475,293,4621,1700,14554,2496,14196,4637,6450,2227,3763,1720,3123,2062,3423,2333,3291,2680,3090,2729,3300,3127,4154,4259,4625,6109,4892,11602,2279,9585,1606,5268,1557,4996,1345,3594
9,신반포,392,349,1467,3253,4213,5800,5234,7141,2977,4552,2369,2683,2215,2033,2551,2334,2840,3125,3183,2643,4209,3106,5806,3126,6913,3837,6743,5987,3801,4103,2395,2355,2189,2084,1521,1679
9,신방화,4033,717,9625,2334,22637,4292,21278,9483,11323,4954,7500,4288,7040,4912,6873,5844,7273,5947,6771,5848,7371,8772,7638,8679,7264,11127,8323,20126,4521,17650,3611,9783,3124,9406,2132,6584
3,신사,2443,1316,5251,16606,8950,36104,14610,96081,11147,115430,13295,55108,17539,34631,20455,34132,23868,37989,29470,37277,37056,35111,44874,34730,68227,38818,111909,49967,80364,28551,53341,12728,53821,9422,34677,5609
"1,2,우이신설",신설동,10041,3509,9768,11651,18535,31687,26382,77785,19614,45195,17363,25327,20829,22628,21062,23051,23745,23877,25886,22205,29927,22056,34264,21472,49851,23914,68858,28411,27652,19827,16428,12343,14315,11136,8884,8213
4,신용산,1099,930,3386,9482,8413,28299,12436,75811,9276,45408,7701,18900,9101,14086,10007,13553,11988,14541,12949,13852,16337,14004,21168,14545,40155,16804,68744,21501,32283,14229,21133,7854,17348,6100,9929,3974
중앙,신원,84,20,215,338,343,677,294,652,302,716,332,687,444,614,513,327,684,321,920,347,1007,282,954,282,735,266,711,308,259,215,106,159,53,128,24,81
경원,신이문,8212,1150,12361,2260,32718,4080,33245,6981,17983,4183,11982,5023,9883,6214,10042,6738,10119,7329,8869,8115,8561,11898,7980,13560,7687,17441,7413,28426,5133,23006,3040,13958,2438,11309,1785,8984
5,신정,10526,663,20132,3595,57070,6516,68700,11663,30184,7010,14763,6079,12133,6360,12355,7356,12005,8332,10450,9518,9549,13234,10859,15515,11919,22573,13100,40571,7005,32161,4734,18252,3688,17907,3117,12939
2,신정네거리,7329,1467,12503,5903,37774,4650,34384,10765,18068,7027,11209,5988,9948,7133,10935,7613,9863,8479,9070,8997,8902,11970,10947,13871,11596,21621,9647,37081,5922,29430,4378,14983,3454,12675,2594,10004
7,신중동,4774,1662,13887,5386,38458,13884,36616,39428,17766,22737,12097,12252,11930,9752,12529,11335,12452,12681,13000,11281,13911,13712,15874,15506,21928,21241,36552,37202,15754,33708,16908,16266,9637,13622,6802,11322
장항,신창,458,96,886,436,1762,1429,1286,3933,1289,1698,1233,1636,1718,1774,2023,1920,2319,1444,2326,1403,2826,1600,2912,1650,2631,1433,3873,2283,1264,1805,1121,1742,975,1465,519,1659
2,신촌,4965,2571,10655,12927,26382,27030,36314,62135,26090,68524,24527,40849,27318,36318,32432,39192,33503,45136,37292,41515,42137,39225,49607,39242,64909,51964,68639,74629,48515,50965,50056,26663,45013,22710,39260,16291
경의,신촌(경의중앙선),162,2,285,781,483,3035,513,4976,437,1528,463,1099,421,754,526,1247,508,852,626,743,780,626,1360,479,2727,994,2639,1038,1291,769,946,427,858,183,644,55
수인,신포,1012,195,1080,812,2374,2516,2196,6701,1351,2266,1183,1844,1432,2156,1688,2142,2109,2260,2022,1983,2574,2187,3406,2449,3703,2733,5601,3423,2236,1904,1878,1245,1437,1086,761,996
7,신풍,9708,1529,13657,5817,32933,9965,41146,18128,22883,9764,12683,7602,10409,7481,11142,8466,11320,9368,10624,9467,10587,12384,12909,14690,14881,21958,16825,33601,9286,25900,6300,14815,5140,15075,3548,11021
8,신흥,3558,679,4955,2504,10997,2850,13371,6096,7928,4347,5328,4571,4874,4473,5171,4561,5381,5004,5459,5647,5544,6833,5883,7493,6380,8946,6623,13581,3834,11271,3017,6917,2356,6352,1697,4441
4,쌍문,20969,961,46623,8364,107905,13208,114405,25066,64126,17834,39212,16168,31373,17043,31353,19746,29887,21365,27217,25424,26000,32406,27885,38932,28667,54373,29638,90447,19399,87519,13638,50920,11306,43719,7647,33338
장항,쌍용,1561,187,2682,498,5441,1558,4231,2578,2049,1936,1823,1635,2024,1843,2225,2137,2092,2063,2339,1918,2068,2171,2368,1780,3071,4381,2832,3992,1716,4029,1479,2371,1146,1771,924,1466
장항,아산,611,498,1468,1823,4811,4270,3770,4206,2262,2977,2150,3209,2708,2502,2939,3320,2681,3402,3674,2646,4156,3369,3698,2431,4535,5344,6164,4435,4856,4649,2942,2692,3283,2342,2195,1333
중앙,아신,321,40,686,250,1651,635,1021,994,841,816,722,777,766,890,811,715,901,743,959,800,806,798,1074,561,1066,1348,1050,1148,520,965,350,496,222,845,125,460
5,아차산,7669,1548,14313,4998,37092,9562,50113,19188,25010,16001,15811,15509,14232,13827,16017,14198,17313,14763,17183,15187,17330,17889,18812,20418,19927,27349,21124,44643,13317,34444,9304,19547,8692,16780,5873,12756
2,아현,4469,1218,9000,6497,23061,9617,28946,20098,16652,9944,11839,7797,10852,7913,11244,8686,11766,9813,12116,10117,14734,11320,15661,12998,15936,17611,16393,25939,9793,20806,6639,12327,5154,11762,3189,8762
3,안국,1612,1373,2801,18145,4885,69646,6634,79881,5783,41715,6502,23694,8778,21188,11967,19749,13589,21449,17020,21379,24115,17218,32253,15669,69701,14057,81866,13791,33529,7514,23888,3924,19653,3361,10291,2340
안산,안산,10326,1089,11284,14655,18193,35026,17859,28984,13883,11997,10825,11010,11294,10968,12477,11672,13527,11782,13167,11433,14863,12469,17144,13251,34726,17863,38276,21218,20280,18826,18569,13214,11213,11958,4167,7466
6,안암,1453,1008,2425,4101,6633,13060,8788,29934,7480,24018,8097,13983,9172,9866,10863,10831,10409,13158,11562,11064,14365,9512,17505,9237,27738,10817,25216,14759,14265,11910,11913,7366,12204,7723,11254,6659
경부,안양,12750,3677,26598,11080,66702,14758,58745,29487,31316,22558,20074,18513,19735,19664,22666,21900,22739,24934,21858,22929,23401,25982,28291,29066,33214,42705,31940,65990,20571,56964,17929,31385,18164,25087,12391,16862
8,암사,13195,967,22174,5129,67724,7818,85977,15988,41014,11578,20732,9614,17640,10755,18205,13250,18107,13127,16097,15596,15016,20381,16020,23064,17491,34935,18802,61828,10962,48429,8324,26674,7060,26189,4482,17672
3,압구정,2447,2017,6826,19602,12843,40687,18567,119012,14623,138525,17216,59353,22110,42671,26330,36258,28619,40500,35085,37847,42821,32953,52298,31856,72844,38985,113221,44419,84691,25805,66482,11849,45054,9327,27324,6097
분당,압구정로데오,1493,687,2958,9115,4292,19498,5661,57619,5068,81785,5725,39622,8396,26348,11152,23406,13332,22725,17058,20688,21728,19766,27844,19743,43529,23895,65043,28813,51487,16889,44269,6385,29528,4381,15152,2977
5,애오개,1981,624,4460,3103,14818,8307,18679,25916,9319,10281,6256,5111,6133,4727,6062,4984,6696,5769,6977,5924,8067,6651,7532,6861,10761,9958,20910,16943,6957,11344,4617,6495,3762,6298,2667,4592
경의,야당,3338,312,10948,2268,19139,4409,15371,6455,7825,4810,5946,3317,5524,3713,5788,4102,5088,4300,4995,5078,5665,5656,6490,6013,7245,11579,7072,15650,4502,15198,3588,9872,3667,7523,2630,6160
수인,야목,65,10,134,110,215,153,243,185,210,146,257,183,274,210,322,267,294,226,303,269,325,300,326,314,322,323,288,318,134,254,89,148,52,185,29,140
분당,야탑,6270,2712,15717,12255,44368,32485,51837,76798,31645,41234,23590,23818,24079,20940,25713,25121,25024,27120,26552,26831,29764,27857,33712,30830,45069,39902,66064,57494,31513,46978,23066,27879,20757,21921,13208,18296
"3,6",약수,6709,1217,10585,7379,25723,18134,37720,44827,25869,24363,17774,15544,17103,14629,18207,14828,18855,15697,18973,16632,20578,18037,22447,21500,27702,28155,38364,40890,20401,27420,15781,17029,14280,15896,9408,11288
중앙,양수,774,225,1709,1176,5259,2154,2946,2877,2664,3435,2310,3137,2515,2942,2456,3041,2901,3272,3100,3159,3818,2666,4426,3058,3922,3434,3696,3292,1839,3095,1545,2872,905,1682,448,1731
중앙,양원,1403,271,1861,2613,4504,5525,3054,4315,2212,1486,1595,1452,1601,1335,1972,1258,1668,1737,2172,1611,3489,2090,3873,2030,3195,2484,2369,3412,1248,2539,616,1833,495,1246,345,1071
3,양재,4828,2279,11887,34460,27126,92444,35034,205762,24197,106641,21063,42575,24092,31889,27037,29331,30651,34039,33538,29950,41641,30141,50368,31745,98512,40544,169433,54632,81614,38005,49889,23027,43536,19888,25259,13809
중앙,양정,305,239,716,1022,1908,2518,1420,2955,959,1367,794,966,933,959,990,752,977,666,1078,779,1156,700,1784,741,2582,1029,3010,1236,1177,1149,430,534,362,407,206,368
경원,양주,4619,1523,10864,5486,27190,9734,21072,11040,12402,7090,10323,5855,9105,6994,9231,7380,8785,6293,8276,7199,8640,7882,9806,10204,10438,11605,12178,18821,6474,18263,3551,12013,2941,9078,1436,7099
2,양천구청,4059,925,9501,1751,26475,4367,22841,7874,12072,4176,7561,3813,6599,4382,6910,5458,6983,5353,5900,5741,5699,7341,7089,8873,7004,13870,7364,24625,3085,21265,2226,11354,2144,9942,1774,7058
9,양천향교,3835,799,7940,4889,23812,8922,23609,29214,12016,12856,8393,6535,8038,6786,9293,7254,8798,7173,8964,8299,10234,8171,11100,9439,15624,13425,24701,22852,10057,20798,5840,12734,5046,10345,3065,8554
"5,중앙",양평,2935,857,7916,5102,23387,11055,23553,39117,11375,17421,9152,9956,8759,8723,9692,8567,10178,8293,10355,9121,11278,9689,12183,9536,18188,14332,33218,21821,11460,17219,7050,10083,5764,8508,3814,6748
7,어린이대공원,3383,1032,6272,8399,14464,12327,24939,35637,16993,18944,9272,12350,8544,10306,9974,11114,10783,13239,11744,12600,14081,12812,18640,12470,27871,15810,30684,22267,16530,18125,11730,10915,11979,10280,10114,8141
수인,어천,93,7,150,180,372,393,403,442,431,379,546,352,586,418,603,421,656,526,552,616,627,520,631,703,691,568,858,710,439,433,253,321,117,312,80,233
92~3단계,언주,1065,867,2062,6553,4884,15177,6639,47709,5755,33988,5786,14751,6746,7840,7804,7549,8069,8946,9597,8090,11307,7774,14511,7311,26944,8332,43447,9551,20925,7630,11233,4716,10245,4303,6819,2708
5,여의나루,927,1076,2220,6704,4010,24279,5852,44588,3614,11529,2884,4237,4043,4602,4004,4706,4376,6478,6057,7608,8322,7964,11366,8563,22828,10194,39018,12083,17080,9476,12893,6173,12680,4544,10583,2632
"5,9",여의도,4017,3672,6395,38843,13993,213174,19199,290457,17277,109906,17527,36643,25374,31386,25238,30199,30506,32797,34934,27690,45661,24873,65774,24844,192100,29847,243906,37974,93529,23609,60999,13484,52798,11424,27112,8152
경강,여주,847,4,2216,423,3687,1974,3137,2257,2169,2370,2135,1881,2155,2474,2194,2918,2473,2559,2904,2468,3177,2367,3516,3026,3264,3155,2432,3404,2426,4716,1498,3049,1034,1641,449,1606
경인,역곡,24465,3807,39686,9777,104929,12287,98356,24600,49094,20080,29900,17717,26583,18794,27501,20632,26297,22258,23676,24269,23434,27555,25266,39177,28822,55028,28255,98130,18586,83522,15523,45444,12888,40606,9711,29877
2,역삼,3585,7034,7694,40410,12164,102335,19564,270723,18898,219245,17765,76233,23905,45856,28880,40370,34506,44697,43387,38107,57474,35478,77719,31917,150759,35161,225301,38764,109527,26697,62285,15655,57935,12870,34802,9044
6,역촌,1712,184,4724,1689,13994,2505,14546,7115,7268,3453,4516,2919,4019,3618,4434,3499,4623,3914,3887,3905,3652,4773,3740,6094,4146,8232,4434,14811,2427,12602,1859,6381,1399,6278,1129,4440
수인,연수,1877,803,5140,2125,12172,3927,10315,8550,5068,4874,4351,3686,4876,3662,4863,4464,5028,4717,4976,4738,5265,5117,5913,6219,6400,8869,7747,12811,4775,8543,3683,6002,4076,5333,2865,3352
"3,6",연신내,23826,1723,45329,10675,117847,19208,135563,29838,72827,29978,47377,29080,42871,29697,44439,30724,43596,34692,41322,36660,42028,45834,44975,54270,44328,70839,41567,117355,29679,105493,23408,57404,20124,53564,14403,40168
9,염창,9475,511,21546,3986,59938,7024,66541,20200,33700,10361,18963,7772,15848,8329,16718,10681,15882,11040,13947,12494,13201,16330,14123,19895,17406,33907,21256,58299,11255,51392,8312,30261,7298,25844,4963,19902
경부,영등포,16174,5867,14278,19113,31551,51652,44069,104741,30772,76448,24350,53321,29800,48969,35090,49825,39350,53322,45298,51833,50800,54784,59633,55863,79146,64998,122528,86491,72931,55872,76689,28972,55986,22892,35806,15741
"2,5",영등포구청,5892,3104,12667,13215,40114,36666,47030,128532,27706,57890,20656,26786,21732,21586,22844,22348,23866,24666,25883,23261,28974,24118,34948,25181,53274,33063,108349,52321,39876,36124,25634,19869,23404,18721,14444,13997
5,영등포시장,2098,903,4681,4974,14739,11554,19905,31361,9806,16609,6994,10370,7708,9265,8421,9037,9291,10528,9273,9881,10684,9928,12688,9495,18002,12411,28182,20130,12514,12775,8040,7402,6786,6830,4563,5118
공항철도 1,영종,1683,119,5176,1155,9296,2240,6620,3273,4347,2184,3716,1731,3335,2370,3865,2874,3397,2993,3004,3228,3469,3647,3494,3558,3887,4976,3359,7087,2169,8231,1971,5462,1562,4209,1079,3856
분당,영통,1773,936,5934,2968,13042,6465,13759,17753,7758,12614,6411,6851,7028,6877,7440,7600,8436,8552,8416,8288,9214,8549,11276,9641,15504,13810,17822,18688,9440,15286,8449,9146,8360,8486,6968,7048
"3,5",오금,4117,309,8353,4484,28931,12370,30978,28541,16100,10921,9763,6368,8806,5944,9895,6867,10333,7583,9785,7576,9485,9431,11917,10747,15868,15383,22588,23851,8680,18488,5999,11889,5025,9881,3435,8742
경인,오류동,10949,1834,16142,5012,42524,5707,42485,9639,21724,8489,14612,6850,12500,8323,13223,9423,13083,9739,11431,11237,11744,13870,12323,15209,12806,21371,12430,39083,7741,31816,5798,19685,4937,17689,3554,11717
분당,오리,3274,422,11597,6696,24437,12737,25639,28619,16195,15585,11316,9257,10962,8390,11809,9860,12439,9049,12137,9791,13309,9928,14799,11251,20389,13538,28429,20430,13105,18025,9362,11642,8352,9224,5520,7298
5,오목교,3772,1437,12050,7019,39752,23270,44051,63563,22312,48728,16172,25332,17488,22917,20106,22795,20658,25413,22018,25106,25185,25173,29781,28752,38711,39332,58540,62401,32377,42665,32855,19473,23157,16935,17568,12789
수인,오목천,239,13,1348,396,2339,888,2840,1915,1881,952,2080,917,2030,1128,2079,1255,2029,1765,1861,1635,1957,1975,2805,2575,2430,2150,2649,3854,1263,2513,873,1594,558,1416,460,1771
중앙,오빈,174,5,323,254,785,289,571,609,553,387,478,393,360,385,397,382,454,312,412,294,436,438,403,377,598,724,497,697,214,440,121,253,87,383,39,288
경부,오산,4992,1504,12046,7919,17102,19698,15337,16608,11297,10511,10062,7881,10166,7362,11464,8971,10834,10023,10813,9508,11206,11490,14154,12876,19966,16444,22002,22041,12514,17787,9997,13894,7339,11049,4465,7040
경부,오산대,2021,651,4784,1960,8501,3704,5520,6745,3686,2709,2711,2387,2531,2294,2934,2323,3363,3599,3215,3034,3500,2090,4887,3376,5351,4672,6704,8148,3171,6034,2457,4062,2515,3541,1298,2316
안산,오이도,5436,162,12975,6203,27609,12221,19695,13373,10133,6399,8073,6680,8088,7838,8961,8974,9246,9638,8771,9968,9951,11395,11054,11385,16046,15029,17367,22581,10274,20230,8349,11972,7346,11126,4588,8514
"3,경원",옥수,2805,969,7652,3899,19146,7131,25222,13525,16239,9270,11249,6971,9641,7528,10134,8682,11109,9991,10571,10117,11156,12317,13328,13793,14478,19475,15198,29336,9825,22013,7611,13786,6709,12087,4285,8818
"7,경인",온수,12278,2373,21638,8099,65102,16585,70333,22822,32388,10874,18585,9834,15884,10683,16692,11800,16960,12783,15587,13940,16147,16468,20491,20449,20410,30152,20079,57794,9878,47091,7544,25905,6821,22874,4210,16781
장항,온양온천,1518,471,3057,1738,6083,3596,6316,6152,5390,4484,4262,5323,5612,7165,5273,6186,6597,4820,6197,4987,5679,5406,5154,5069,5006,5195,6821,6920,2747,5739,2400,3729,1900,3673,1240,2548
"5, 9 2~3단계",올림픽공원,1874,1131,10121,7425,20973,9450,23162,16821,14432,9219,8904,6802,8098,7182,9048,9072,9557,9850,9328,10432,11429,10303,15091,11321,19941,14408,21589,21660,10580,18503,6490,11576,5251,9762,4087,8409
"2,5,경원",왕십리,13111,1883,17586,10611,47670,24896,77918,60419,46990,34562,29309,27782,29824,29847,34607,33214,35941,36999,37024,37670,41665,41616,47997,47843,57581,65359,69235,105401,44272,74329,40659,41847,44358,35045,33322,27406
경원,외대앞,4686,1437,7049,3062,15505,3302,18226,9296,11262,8423,8993,6706,8606,6789,9601,7622,9627,8139,9941,8322,10568,10377,11170,11122,12609,13832,10386,19468,7343,16797,5782,10127,5332,9548,4274,7814
2,용답,2202,201,2916,743,6361,1570,10747,2560,4952,1691,3294,1604,2769,1944,3039,2212,3207,2427,3004,2862,3056,3432,3273,4427,3484,5135,3355,9166,1910,5894,1243,3675,1003,4265,788,3045
2,용두,915,215,1394,882,4136,2358,6455,6164,3361,3439,2919,3224,3374,3315,3382,2671,3299,3424,3473,3763,3865,3998,3845,3376,4107,3818,5564,6464,2218,4585,1325,2218,1146,2317,709,1361
7,용마산,4839,720,9786,2754,20502,3570,25370,8873,13087,5183,7207,4415,5701,4152,5953,4502,5835,5066,5375,5370,5517,6998,6221,8460,6183,10741,6828,18754,4235,16786,2584,9282,2170,9292,1473,6651
중앙,용문,765,4,1565,617,2775,1769,2981,3825,2094,2486,2568,3483,2405,6369,3809,4855,4182,4300,4868,4354,5707,2500,5222,3556,4417,3273,2937,2370,1720,2274,1009,2163,625,1238,251,1112
경부,용산,3709,4741,4569,26146,15699,54482,20705,115507,20417,72067,16768,51451,25256,36854,24828,39861,31564,40365,32639,39375,45553,38208,52124,38010,79176,39984,114928,50597,68875,32366,56221,20488,49921,15514,28448,8599
5,우장산,5027,671,16906,3704,45642,12950,45256,17694,22554,11394,15471,9991,15071,10760,15474,11481,16349,13797,15058,14680,17676,16809,17412,19785,17173,24206,16055,44699,9385,36332,6903,19398,5925,16409,4359,13660
중앙,운길산,159,117,610,599,1204,816,1140,1781,885,2643,755,2656,1006,2491,1226,2135,1736,1447,2374,1785,3171,1293,3303,1164,3024,1000,2240,909,1334,1072,892,450,347,429,121,488
공항철도 1,운서,5207,313,8013,4308,14825,7763,14700,10578,6858,7617,6553,4246,7306,4561,7808,4709,6620,5733,6766,5350,7289,7415,8886,7313,12013,10328,10518,16533,5491,13470,5254,8717,5129,7836,3085,8707
경의,운정,2765,242,12484,3928,23791,5468,18208,8520,8249,4057,6167,3159,5403,3490,5329,3995,5199,4387,4737,4650,5243,5911,7296,6931,7884,10053,8167,16524,4040,16987,2938,9122,2297,8704,1477,5773
